Season,HomeTeam,AwayTeam,Home_Overall,Home_Att,Home_Mid,Home_Def,Home_Pace,Away_Overall,Away_Att,Away_Mid,Away_Def,Away_Pace,FTHG,FTAG
2019-2020,Everton,Leicester City,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,2,1
2019-2020,Arsenal,Norwich City,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,68.0909090909091,49.72727272727273,60.63636363636363,51.60606060606061,65.03030303030303,4,0
2019-2020,West Ham United,Chelsea,72.0909090909091,48.36363636363637,63.72727272727273,53.0,65.54545454545455,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,3,2
2019-2020,Sheffield United,Tottenham Hotspur,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,3,1
2019-2020,Manchester City,Liverpool,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,4,0
2019-2020,Leicester City,Crystal Palace,73.0909090909091,49.57575757575758,66.42424242424242,57.57575757575758,65.6969696969697,69.9090909090909,47.93939393939394,62.45454545454545,54.21212121212121,62.78787878787879,3,0
2019-2020,Wolverhampton Wanderers,Arsenal,69.24242424242425,49.84848484848485,64.63636363636364,51.42424242424242,68.45454545454545,74.18181818181819,53.121212121212125,67.0,54.72727272727273,72.15151515151516,0,2
2019-2020,Chelsea,Watford,74.63636363636364,52.696969696969695,69.66666666666667,56.57575757575758,66.9090909090909,72.27272727272727,52.93939393939394,64.54545454545455,50.60606060606061,65.3030303030303,3,0
2019-2020,Burnley,Sheffield United,70.53125,47.09375,60.4375,51.90625,62.28125,69.81818181818181,47.03030303030303,60.333333333333336,50.60606060606061,63.45454545454545,1,1
2019-2020,Newcastle United,West Ham United,73.87878787878788,50.90909090909091,67.33333333333333,56.54545454545455,66.81818181818181,72.0909090909091,48.36363636363637,63.72727272727273,53.0,65.54545454545455,2,2
2019-2020,Liverpool,Aston Villa,76.45454545454545,52.09090909090909,69.51515151515152,58.06060606060606,70.12121212121212,69.84848484848484,48.21212121212121,62.15151515151515,50.24242424242424,65.81818181818181,2,0
2019-2020,Southampton,Manchester City,68.78787878787878,47.333333333333336,60.18181818181818,48.666666666666664,66.18181818181819,76.18181818181819,51.515151515151516,69.72727272727273,54.39393939393939,68.96969696969697,1,0
2019-2020,Tottenham Hotspur,Everton,74.39393939393939,50.42424242424242,67.57575757575758,56.03030303030303,70.96969696969697,71.93939393939394,51.03030303030303,66.63636363636364,53.78787878787879,67.45454545454545,1,0
