Season,Team,Player,Position,Nationality
2001-2002,Fulham FC,Andrejs Stolcers,,
2001-2002,Fulham FC,Steve Marlet,,
2001-2002,Fulham FC,Barry Hayles,,
2001-2002,Fulham FC,Louis Saha,,
2001-2002,Fulham FC,Calum Willock,,
2001-2002,Fulham FC,Elvis Hammond,,
2001-2002,Fulham FC,Luke Cornwall,,
2001-2002,Newcastle,Shay Given,,
2001-2002,Newcastle,Steve Harper,,
2001-2002,Newcastle,John Karelse,,
2001-2002,Newcastle,Andrew O'Brien,,
2001-2002,Newcastle,Marcelino,,
2001-2002,Newcastle,Aaron Hughes,,
2001-2002,Newcastle,Sylvain Distin,,
2001-2002,Newcastle,David Beharall,,
2001-2002,Newcastle,Steven Caldwell,,
2001-2002,Newcastle,Nikolaos Dabizas,,
2001-2002,Newcastle,Gary Caldwell,,
2001-2002,Newcastle,Robbie Elliott,,
2001-2002,Newcastle,Wayne Quinn,,
2001-2002,Newcastle,Olivier Bernard,,
2001-2002,Newcastle,Warren Barton,,
2001-2002,Newcastle,Andy Griffin,,
2001-2002,Newcastle,Clarence Acuña,,
2001-2002,Newcastle,Jermaine Jenas,,
2001-2002,Newcastle,Rob Lee,,
2001-2002,Newcastle,Gary Speed,,
2001-2002,Newcastle,Diego Gavilán,,
2001-2002,Newcastle,Jamie McClen,,
2001-2002,Newcastle,Brian Kerr,,
2001-2002,Newcastle,Nolberto Solano,,
2001-2002,Newcastle,Kieron Dyer,,
2001-2002,Newcastle,James Coppinger,,
2001-2002,Newcastle,Christian Bassedas,,
2001-2002,Newcastle,Craig Bellamy,,
2001-2002,Newcastle,Laurent Robert,,
2001-2002,Newcastle,Stuart Green,,
2001-2002,Newcastle,Alan Shearer,,
2001-2002,Newcastle,Carl Cort,,
2001-2002,Newcastle,Lomana LuaLua,,
2001-2002,Newcastle,Shola Ameobi,,
2001-2002,Newcastle,Colin McMenamin,,
2001-2002,Ipswich Town,Mike Salmon,,
2001-2002,Ipswich Town,Andy Marshall,,
2001-2002,Ipswich Town,Keith Branagan,,
2001-2002,Ipswich Town,James Pullen,,
2001-2002,Ipswich Town,Matteo Sereni,,
2001-2002,Ipswich Town,Justin Miller,,
2001-2002,Ipswich Town,John McGreal,,
2001-2002,Ipswich Town,Mark Venus,,
2001-2002,Ipswich Town,Richard Naylor,,
2001-2002,Ipswich Town,Wayne Brown,,
2001-2002,Ipswich Town,Titus Bramble,,
2001-2002,Ipswich Town,Thomas Gaardsøe,,
2001-2002,Ipswich Town,Gary Croft,,
2001-2002,Ipswich Town,Jamie Clapham,,
2001-2002,Ipswich Town,Hermann Hreidarsson,,
2001-2002,Ipswich Town,Chris Makin,,
2001-2002,Ipswich Town,Amir Karic,,
2001-2002,Ipswich Town,Fabian Wilnis,,
2001-2002,Ipswich Town,Nabil Abidallah,,
2001-2002,Ipswich Town,Jim Magilton,,
2001-2002,Ipswich Town,Matt Holland,,
2001-2002,Ipswich Town,Jermaine Wright,,
2001-2002,Ipswich Town,Tommy Miller,,
2001-2002,Ipswich Town,Sixto Peralta,,
2001-2002,Ipswich Town,Darren Ambrose,,
2001-2002,Ipswich Town,Ulrich Le Pen,,
2001-2002,Ipswich Town,Martijn Reuser,,
2001-2002,Ipswich Town,Finidi George,,
2001-2002,Ipswich Town,Pablo Couñago,,
2001-2002,Ipswich Town,Alun Armstrong,,
2001-2002,Ipswich Town,Marcus Stewart,,
2001-2002,Ipswich Town,Darren Bent,,
2001-2002,Ipswich Town,Richard Logan,,
2001-2002,Ipswich Town,Marcus Bent,,
2001-2002,Middlesbrough FC,Sam Russell,,
2001-2002,Middlesbrough FC,Brad Jones,,
2001-2002,Middlesbrough FC,Mark Schwarzer,,
2001-2002,Middlesbrough FC,Marlon Beresford,,
2001-2002,Middlesbrough FC,Mark Crossley,,
2001-2002,Middlesbrough FC,Curtis Fleming,,
2001-2002,Middlesbrough FC,Steve Vickers,,
2001-2002,Middlesbrough FC,Gianluca Festa,,
2001-2002,Middlesbrough FC,Gareth Southgate,,
2001-2002,Middlesbrough FC,Ugo Ehiogu,,
2001-2002,Middlesbrough FC,Jason Gavin,,
2001-2002,Middlesbrough FC,Dean Gordon,,
2001-2002,Middlesbrough FC,Colin Cooper,,
2001-2002,Middlesbrough FC,David Murphy,,
2001-2002,Middlesbrough FC,Franck Queudrue,,
2001-2002,Middlesbrough FC,Robbie Stockdale,,
2001-2002,Middlesbrough FC,Stuart Parnaby,,
2001-2002,Middlesbrough FC,Luke Wilkshire,,
2001-2002,Middlesbrough FC,Paul Okon,,
2001-2002,Middlesbrough FC,Mark Hudson,,
2001-2002,Middlesbrough FC,Robbie Mustoe,,
2001-2002,Middlesbrough FC,Paul Ince,,
2001-2002,Middlesbrough FC,Jonathan Greening,,
2001-2002,Middlesbrough FC,Mark Wilson,,
2001-2002,Middlesbrough FC,Mark Summerbell,,
2001-2002,Middlesbrough FC,Phil Stamp,,
2001-2002,Middlesbrough FC,Mickaël Debève,,
2001-2002,Middlesbrough FC,Allan Johnston,,
2001-2002,Middlesbrough FC,Stewart Downing,,
2001-2002,Middlesbrough FC,Carlos Marinelli,,
2001-2002,Middlesbrough FC,Szilárd Németh,,
2001-2002,Middlesbrough FC,Benny Carbone,,
2001-2002,Middlesbrough FC,Brian Deane,,
2001-2002,Middlesbrough FC,Alen Bokšić,,
2001-2002,Middlesbrough FC,Joseph-Désiré Job,,
2001-2002,Middlesbrough FC,Andy Campbell,,
2001-2002,Middlesbrough FC,Hámilton Ricard,,
2001-2002,Middlesbrough FC,Dean Windass,,
2001-2002,Middlesbrough FC,Noel Whelan,,
2001-2002,Chelsea FC,Ed de Goey,,
2001-2002,Chelsea FC,Carlo Cudicini,,
2001-2002,Chelsea FC,Mark Bosnich,,
2001-2002,Chelsea FC,Rhys Evans,,
2001-2002,Chelsea FC,Marcel Desailly,,
2001-2002,Chelsea FC,Winston Bogarde,,
2001-2002,Chelsea FC,William Gallas,,
2001-2002,Chelsea FC,Valerio Di Cesare,,
2001-2002,Chelsea FC,John Terry,,
2001-2002,Chelsea FC,Robert Huth,,
2001-2002,Chelsea FC,Joel Kitamirike,,
2001-2002,Chelsea FC,Pat Baldwin,,
2001-2002,Chelsea FC,Celestine Babayaro,,
2001-2002,Chelsea FC,Graeme Le Saux,,
2001-2002,Chelsea FC,Jon Harley,,
2001-2002,Chelsea FC,Joe Keenan,,
2001-2002,Chelsea FC,Mario Melchiot,,
2001-2002,Chelsea FC,Albert Ferrer,,
2001-2002,Chelsea FC,Slavisa Jokanovic,,
2001-2002,Chelsea FC,Emmanuel Petit,,
2001-2002,Chelsea FC,Danny Slatter,,
2001-2002,Chelsea FC,Frank Lampard,,
2001-2002,Chelsea FC,Roberto Di Matteo,,
2001-2002,Chelsea FC,Jody Morris,,
2001-2002,Chelsea FC,Samuele Dalla Bona,,
2001-2002,Chelsea FC,Gabriele Ambrosetti,,
2001-2002,Chelsea FC,Boudewijn Zenden,,
2001-2002,Chelsea FC,Jesper Grønkjær,,
2001-2002,Chelsea FC,Mario Stanic,,
2001-2002,Chelsea FC,Gianfranco Zola,,
2001-2002,Chelsea FC,Jimmy Floyd Hasselbaink,,
2001-2002,Chelsea FC,Eidur Gudjohnsen,,
2001-2002,Chelsea FC,Rati Aleksidze,,
2001-2002,Chelsea FC,Leon Knight,,
2001-2002,Chelsea FC,Mikael Forssell,,
2001-2002,Chelsea FC,Carlton Cole,,
2001-2002,Aston Villa,Boaz Myhill,,
2001-2002,Aston Villa,Peter Schmeichel,,
2001-2002,Aston Villa,Peter Enckelman,,
2001-2002,Aston Villa,Olof Mellberg,,
2001-2002,Aston Villa,Alpay Özalan,,
2001-2002,Aston Villa,Alan Wright,,
2001-2002,Aston Villa,Steve Staunton,,
2001-2002,Aston Villa,Jlloyd Samuel,,
2001-2002,Aston Villa,Jonathan Bewers,,
2001-2002,Aston Villa,Mark Delaney,,
2001-2002,Aston Villa,George Boateng,,
2001-2002,Aston Villa,Gareth Barry,,
2001-2002,Aston Villa,Ian Taylor,,
2001-2002,Aston Villa,Lee Hendrie,,
2001-2002,Aston Villa,Thomas Hitzlsperger,,
2001-2002,Aston Villa,Stephen Cooke,,
2001-2002,Aston Villa,Steve Stone,,
2001-2002,Aston Villa,Hassan Kachloul,,
2001-2002,Aston Villa,Paul Merson,,
2001-2002,Aston Villa,Mustapha Hadji,,
2001-2002,Aston Villa,David Ginola,,
2001-2002,Aston Villa,Juan Pablo Ángel,,
2001-2002,Aston Villa,Dion Dublin,,
2001-2002,Aston Villa,Peter Crouch,,
2001-2002,Aston Villa,Bosko Balaban,,
2001-2002,Aston Villa,Darius Vassell,,
2001-2002,Aston Villa,Stefan Moore,,
2001-2002,Leeds United,Dejan Milosevic,,
2001-2002,Leeds United,Nigel Martyn,,
2001-2002,Leeds United,Paul Robinson,,
2001-2002,Leeds United,Lucas Radebe,,
2001-2002,Leeds United,Jonathan Woodgate,,
2001-2002,Leeds United,Michael Duberry,,
2001-2002,Leeds United,Rio Ferdinand,,
2001-2002,Leeds United,Ian Harte,,
2001-2002,Leeds United,Dominic Matteo,,
2001-2002,Leeds United,Gary Kelly,,
2001-2002,Leeds United,Danny Mills,,
2001-2002,Leeds United,Alan Maybury,,
2001-2002,Leeds United,Frazer Richardson,,
2001-2002,Leeds United,Olivier Dacourt,,
2001-2002,Leeds United,David Batty,,
2001-2002,Leeds United,Jacob Burns,,
2001-2002,Leeds United,Lee Bowyer,,
2001-2002,Leeds United,Alan Smith,,
2001-2002,Leeds United,Eirik Bakke,,
2001-2002,Leeds United,Seth Johnson,,
2001-2002,Leeds United,Jamie McMaster,,
2001-2002,Leeds United,Stephen McPhail,,
2001-2002,Leeds United,Jason Wilcox,,
2001-2002,Leeds United,Harry Kewell,,
2001-2002,Leeds United,Robbie Fowler,,
2001-2002,Leeds United,Robbie Keane,,
2001-2002,Leeds United,Mark Viduka,,
2001-2002,Arsenal FC,Craig Holloway,,
2001-2002,Arsenal FC,David Seaman,,
2001-2002,Arsenal FC,Stuart Taylor,,
2001-2002,Arsenal FC,Richard Wright,,
2001-2002,Arsenal FC,Graham Stack,,
2001-2002,Arsenal FC,Tony Adams,,
2001-2002,Arsenal FC,Martin Keown,,
2001-2002,Arsenal FC,Matthew Upson,,
2001-2002,Arsenal FC,Sol Campbell,,
2001-2002,Arsenal FC,Igors Stepanovs,,
2001-2002,Arsenal FC,Stathis Tavlaridis,,
2001-2002,Arsenal FC,Kolo Touré,,
2001-2002,Arsenal FC,Ashley Cole,,
2001-2002,Arsenal FC,Giovanni van Bronckhorst,,
2001-2002,Arsenal FC,Juan,,
2001-2002,Arsenal FC,Lee Dixon,,
2001-2002,Arsenal FC,Laurén,,
2001-2002,Arsenal FC,Oleg Luzhnyi,,
2001-2002,Arsenal FC,Moritz Volz,,
2001-2002,Arsenal FC,Patrick Vieira,,
2001-2002,Arsenal FC,Gilles Grimandi,,
2001-2002,Arsenal FC,Junichi Inamoto,,
2001-2002,Arsenal FC,John Halls,,
2001-2002,Arsenal FC,Sebastian Svärd,,
2001-2002,Arsenal FC,Ray Parlour,,
2001-2002,Arsenal FC,Edú Gaspar,,
2001-2002,Arsenal FC,Freddie Ljungberg,,
2001-2002,Arsenal FC,Rohan Ricketts,,
2001-2002,Arsenal FC,Robert Pirès,,
2001-2002,Arsenal FC,Jermaine Pennant,,
2001-2002,Arsenal FC,Dennis Bergkamp,,
2001-2002,Arsenal FC,Sylvain Wiltord,,
2001-2002,Arsenal FC,Francis Jeffers,,
2001-2002,Arsenal FC,Thierry Henry,,
2001-2002,Arsenal FC,Nwankwo Kanu,,
2001-2002,Arsenal FC,Jérémie Aliadière,,
2001-2002,Arsenal FC,Carlin Itonga,,
2001-2002,Charlton Athletic,Dean Kiely,,
2001-2002,Charlton Athletic,Sasa Ilic,,
2001-2002,Charlton Athletic,Ben Roberts,,
2001-2002,Charlton Athletic,Steve Brown,,
2001-2002,Charlton Athletic,Mark Fish,,
2001-2002,Charlton Athletic,Richard Rufus,,
2001-2002,Charlton Athletic,Andy Todd,,
2001-2002,Charlton Athletic,Eddie Youds,,
2001-2002,Charlton Athletic,Jonathan Fortune,,
2001-2002,Charlton Athletic,Jorge Costa,,
2001-2002,Charlton Athletic,Danny Shittu,,
2001-2002,Charlton Athletic,Chris Powell,,
2001-2002,Charlton Athletic,Paul Konchesky,,
2001-2002,Charlton Athletic,Greg Shields,,
2001-2002,Charlton Athletic,Luke Young,,
2001-2002,Charlton Athletic,Radostin Kishishev,,
2001-2002,Charlton Athletic,Mark Kinsella,,
2001-2002,Charlton Athletic,Chris Bart-Williams,,
2001-2002,Charlton Athletic,Scott Parker,,
2001-2002,Charlton Athletic,Gavin Peacock,,
2001-2002,Charlton Athletic,Shaun Newton,,
2001-2002,Charlton Athletic,John Salako,,
2001-2002,Charlton Athletic,Claus Jensen,,
2001-2002,Charlton Athletic,Jason Euell,,
2001-2002,Charlton Athletic,Graham Stuart,,
2001-2002,Charlton Athletic,John Robinson,,
2001-2002,Charlton Athletic,Clive Mendonca,,
2001-2002,Charlton Athletic,Martin Pringle,,
2001-2002,Charlton Athletic,Jonatan Johansson,,
2001-2002,Charlton Athletic,Mathias Svensson,,
2001-2002,Charlton Athletic,Kevin Lisbie,,
2001-2002,Charlton Athletic,Charlie MacDonald,,
2001-2002,Charlton Athletic,Shaun Bartlett,,
2001-2002,Bolton Wanderers,Jeff Cassar,,
2001-2002,Bolton Wanderers,Steve Banks,,
2001-2002,Bolton Wanderers,Jussi Jääskeläinen,,
2001-2002,Bolton Wanderers,Kevin Poole,,
2001-2002,Bolton Wanderers,Jani Viander,,
2001-2002,Bolton Wanderers,Bruno N'Gotty,,
2001-2002,Bolton Wanderers,Gudni Bergsson,,
2001-2002,Bolton Wanderers,Colin Hendry,,
2001-2002,Bolton Wanderers,Dean Holden,,
2001-2002,Bolton Wanderers,Ian Marshall,,
2001-2002,Bolton Wanderers,Djibril Diawara,,
2001-2002,Bolton Wanderers,Konstantinos Konstantinidis,,
2001-2002,Bolton Wanderers,Wayne Buchanan,,
2001-2002,Bolton Wanderers,Mike Whitlow,,
2001-2002,Bolton Wanderers,Ricardo Gardner,,
2001-2002,Bolton Wanderers,Anthony Barness,,
2001-2002,Bolton Wanderers,Simon Charlton,,
